hash,source,init,data,
9FFE3622,CRC2,FFFFFFFF,"nHmAction::Wp13::cRideCancelAttack",
24B6C22A,CRC2,FFFFFFFF,"nHmAction::Wp13::cActWpOnSlingerAimWalk",
6A385F51,CRC2,FFFFFFFF,"nHmAction::Wp13::cClawStickAttack",
87DF900D,CRC2,FFFFFFFF,"nHmAction::Wp13::cClawStickAttackLand",
A4A06E6D,CRC2,FFFFFFFF,"nHmAction::Wp13::cShootGatlingLast",
B3DF6B90,CRC2,FFFFFFFF,"nHmAction::Bust::cWpOff",
40461757,CRC2,FFFFFFFF,"nHmAction::Bust::cActWpOnSlingerAim",
6BC3A0C4,CRC2,FFFFFFFF,"nHmAction::Bust::cActWpOnSlingerShot",
CEF2CCDD,CRC2,FFFFFFFF,"nHmAction::Bust::cActWpOnSlingerShotReload",
7ABF7ACC,CRC2,FFFFFFFF,"nHmAction::Bust::cActWpOnSlingerEmpty",
F8DEFD8F,CRC2,FFFFFFFF,"nHmAction::Bust::cActWpOnClawShoot",
8DCBD42B,CRC2,FFFFFFFF,"nHmAction::Wp00Bust::cActWpOnSlingerAim",
32BD1010,CRC2,FFFFFFFF,"nHmAction::Wp00Bust::cActWpOnSlingerShot",
BF175860,CRC2,FFFFFFFF,"nHmAction::Wp00Bust::cActWpOnSlingerShotReload",
FB5812B1,CRC2,FFFFFFFF,"nHmAction::Wp00Bust::cActWpOnSlingerEmpty",
A21B127A,CRC2,FFFFFFFF,"nHmAction::Wp00Bust::cActWpOnClawShoot",
6B9F42BA,CRC2,FFFFFFFF,"nHmAction::Wp01Bust::cSlingerAimPose",
ADC674BC,CRC2,FFFFFFFF,"nHmAction::Wp01Bust::cSlingerAimPoseEnd",
E58EAF26,CRC2,FFFFFFFF,"nHmAction::Wp01Bust::cChangeSlingerType",
74CB4639,CRC2,FFFFFFFF,"nHmAction::Wp01Bust::cActWpOnExSlingerAim",
3F35B3D1,CRC2,FFFFFFFF,"nHmAction::Wp01Bust::cActWpOnExSlingerAimFromNormal",
46DF8193,CRC2,FFFFFFFF,"nHmAction::Wp01Bust::cActWpOnExSlingerAimEnd",
F7ED3BB5,CRC2,FFFFFFFF,"nHmAction::Wp01Bust::cActWpOnExSlingerChangeToNormal",
95D409F0,CRC2,FFFFFFFF,"nHmAction::Wp01Bust::cActWpOnSlingerEmpty",
9DAD690A,CRC2,FFFFFFFF,"nHmAction::Wp01Bust::cActWpOnExSlingerEmpty",
233E775D,CRC2,FFFFFFFF,"nHmAction::Wp01Bust::cActWpOnClawShoot",
1B566FE6,CRC2,FFFFFFFF,"nHmAction::Wp01Bust::cActWpOnExClawShoot",
2A5D104,CRC2,FFFFFFFF,"nHmAction::Wp02Bust::cBustKijinOff",
1DADF276,CRC2,FFFFFFFF,"nHmAction::Wp02Bust::cActWpOnSlingerAim",
